date,count
"2017-01-01 00:14:58","12"
"2017-01-01 03:14:58","12"
"2017-01-01 06:14:55","12"
"2017-01-01 09:14:55","20"
"2017-01-01 12:14:55","19"
"2017-01-01 15:00:27","28"
"2017-01-01 18:06:23","26"
"2017-01-01 21:00:03","12"
"2017-01-02 00:00:03","12"
"2017-01-02 03:00:01","12"
"2017-01-02 06:00:00","12"
"2017-01-02 09:00:01","17"
"2017-01-02 12:00:00","18"
"2017-01-02 15:00:01","30"
"2017-01-02 18:00:01","22"
"2017-01-02 21:00:03","18"
"2017-01-03 00:00:03","13"
"2017-01-03 03:15:03","12"
"2017-01-03 06:15:03","13"
"2017-01-03 10:05:00","13"
"2017-01-03 12:15:01","21"
"2017-01-03 15:03:37","19"
"2017-01-03 18:05:00","13"
"2017-01-03 22:31:46","2"
"2017-01-04 10:44:44","3"
"2017-01-04 13:24:40","1"
"2017-01-04 15:53:10","13"
"2017-01-04 18:11:28","18"
"2017-01-04 22:27:59","1"
"2017-01-05 08:17:42","2"
"2017-01-05 10:35:30","12"
"2017-01-05 12:00:04","9"
"2017-01-05 15:41:34","8"
"2017-01-05 18:43:07","7"
"2017-01-06 12:20:37","3"
"2017-01-06 15:32:05","7"
"2017-01-07 00:01:58","1"
"2017-01-07 03:35:42","3"
"2017-01-07 10:26:10","1"
"2017-01-07 21:25:23","1"
"2017-01-08 06:58:31","1"
"2017-01-08 09:29:37","12"
"2017-01-08 12:16:24","7"
"2017-01-08 16:56:25","3"
"2017-01-08 18:06:04","11"
"2017-01-08 21:34:53","6"
"2017-01-09 09:03:17","12"
"2017-01-09 12:00:06","3"
"2017-01-09 15:37:46","8"
"2017-01-09 18:27:46","8"
"2017-01-09 21:10:55","4"
"2017-01-10 10:35:19","9"
"2017-01-10 12:04:07","6"
"2017-01-10 16:07:17","3"
"2017-01-10 18:06:51","7"
"2017-01-10 22:14:59","1"
"2017-01-11 10:22:58","22"
"2017-01-11 12:29:59","9"
"2017-01-11 15:40:38","15"
"2017-01-11 18:05:02","10"
"2017-01-12 01:20:23","2"
"2017-01-12 10:55:38","5"
"2017-01-12 12:45:07","21"
"2017-01-12 15:00:02","4"
"2017-01-12 18:25:12","2"
"2017-01-13 00:01:52","1"
"2017-01-13 13:27:14","1"
"2017-01-13 16:21:51","4"
"2017-01-13 18:28:25","1"
"2017-01-14 00:01:50","1"
"2017-01-14 10:00:00","9"
"2017-01-14 13:41:23","4"
"2017-01-14 19:45:13","3"
"2017-01-15 07:59:52","5"
"2017-01-15 10:59:59","1"
"2017-01-15 12:44:51","1"
"2017-01-15 15:29:59","3"
"2017-01-15 18:57:46","58"
"2017-01-16 09:31:51","9"
"2017-01-16 13:30:10","3"
"2017-01-16 15:29:25","2"
"2017-01-17 00:02:01","1"
"2017-01-17 10:21:18","1"
"2017-01-17 13:01:23","7"
"2017-01-17 15:04:20","5"
"2017-01-17 20:53:55","4"
"2017-01-17 21:09:26","5"
"2017-01-18 06:26:08","3"
"2017-01-18 09:55:28","9"
"2017-01-18 12:15:02","11"
"2017-01-18 17:18:01","2"
"2017-01-19 00:02:01","1"
"2017-01-19 09:15:25","4"
"2017-01-19 12:03:56","8"
"2017-01-19 15:26:43","6"
"2017-01-19 18:02:03","2"
"2017-01-19 21:23:09","1"
"2017-01-20 06:22:57","2"
"2017-01-20 14:38:48","1"
"2017-01-20 17:37:24","2"
"2017-01-20 18:50:56","3"
"2017-01-21 09:30:05","6"
"2017-01-21 12:28:33","3"
"2017-01-21 19:52:48","2"
"2017-01-22 11:45:03","1"
"2017-01-22 12:34:12","27"
"2017-01-22 15:05:54","7"
"2017-01-22 18:43:19","5"
"2017-01-23 10:45:02","4"
"2017-01-23 12:00:06","1"
"2017-01-23 15:51:48","8"
"2017-01-23 18:00:37","3"
"2017-01-23 21:30:57","7"
"2017-01-24 06:43:42","2"
"2017-01-24 10:59:59","3"
"2017-01-24 12:15:51","2"
"2017-01-24 15:00:04","7"
"2017-01-24 18:49:03","3"
"2017-01-25 00:02:04","1"
"2017-01-25 07:27:23","1"
"2017-01-25 09:04:35","10"
"2017-01-25 12:49:30","4"
"2017-01-25 15:28:55","25"
"2017-01-26 09:15:00","7"
"2017-01-26 12:34:13","4"
"2017-01-26 15:48:45","1"
"2017-01-26 19:49:04","4"
"2017-01-27 06:04:58","2"
"2017-01-27 13:47:43","2"
"2017-01-27 17:46:22","1"
"2017-01-27 18:41:21","4"
"2017-01-28 07:59:56","2"
"2017-01-28 11:45:05","1"
"2017-01-28 12:22:21","5"
"2017-01-28 15:13:01","3"
"2017-01-28 21:03:07","2"
"2017-01-29 11:29:32","1"
"2017-01-29 12:00:02","12"
"2017-01-29 16:13:53","7"
"2017-01-29 18:17:18","3"
"2017-01-29 21:10:22","7"
"2017-01-30 08:00:01","4"
"2017-01-30 10:40:09","4"
"2017-01-30 12:04:00","3"
"2017-01-30 15:16:40","8"
"2017-01-30 18:04:25","8"
"2017-01-30 21:47:37","3"
"2017-01-31 08:00:00","2"
"2017-01-31 10:27:16","10"
"2017-01-31 13:14:01","2"
"2017-01-31 15:31:24","5"
"2017-01-31 21:48:50","3"
